County,State,FIPS Code,Vehicles / 5sqmi
Moffat,CO,8,0 - 2
Cape May,NJ,34,0 - 2
Harris,GA,13,0 - 2
Jefferson,KY,21,2 - 5
Orange,NY,36,0 - 2
Pennington,SD,46,0 - 2
Crook,WY,56,0 - 2
Armstrong,PA,42,0 - 2
Franklin,OH,39,0 - 10
Ouachita,AR,5,0 - 2
Otsego,NY,36,0 - 2
Los Angeles,CA,6,25 - 50
Boyle,KY,21,0 - 2
Sumter,SC,45,0 - 2
Pennington,MN,27,0 - 2
Loudoun,VA,51,0 - 10
Pinellas,FL,12,0 - 10
Coconino,AZ,4,0 - 2
Brunswick,VA,51,0 - 2
Mitchell,TX,48,0 - 2
Johnson,IA,19,0 - 2
Calumet,WI,55,0 - 2
Lincoln,AR,5,0 - 2
Watonwan,MN,27,0 - 2
Green,WI,55,0 - 2
Oliver,ND,38,0 - 2
Dickson,TN,47,0 - 2
Lawrence,MO,29,0 - 2
Leake,MS,28,0 - 2
Seminole,GA,13,0 - 2
Cloud,KS,20,0 - 2
Alachua,FL,12,0 - 2
Carlisle,KY,21,0 - 2
Josephine,OR,41,0 - 2
Hamilton,KS,20,0 - 2
Newton,MS,28,0 - 2
Snohomish,WA,53,2 - 5
Talbot,GA,13,0 - 2
Broadwater,MT,30,0 - 2
Madison,IA,19,0 - 2
Mississippi,MO,29,0 - 2
Middlesex,NJ,34,0 - 10
Shelby,MO,29,0 - 2
Brown,TX,48,0 - 2
Highlands,FL,12,0 - 2
Pendleton,KY,21,0 - 2
Powell,KY,21,0 - 2
Buffalo,NE,31,0 - 2
San Miguel,NM,35,0 - 2
Madison,TN,47,0 - 2
Sharkey,MS,28,0 - 2
Tensas,LA,22,0 - 2
Borden,TX,48,0 - 2
Maury,TN,47,0 - 2
Roger Mills,OK,40,0 - 2
Lampasas,TX,48,0 - 2
Dakota,MN,27,0 - 2
Amherst,VA,51,0 - 2
Huerfano,CO,8,0 - 2
Colfax,NE,31,0 - 2
Essex,NJ,34,10 - 25
Wise,VA,51,0 - 2
Edgefield,SC,45,0 - 2
Hopkins,TX,48,0 - 2
Alexandria,VA,51,25 - 50
Smith,KS,20,0 - 2
Pike,IL,17,0 - 2
Allendale,SC,45,0 - 2
Butte,ID,16,0 - 2
Fulton,NY,36,0 - 2
Washington,IA,19,0 - 2
Norman,MN,27,0 - 2
